group_id,filepath,size_mb,feature_count,minx,miny,maxx,maxy,centroid_x,centroid_y,members
group_0001_db7383da,cache/green_tiles_v3/tiles_final/group_0001_db7383da.gpkg,0.102,5,337406.081500,7375742.818227,345406.081500,7383742.818227,341406.081500,7379742.818227,tile_d00_x00003_y00004
group_0002_f9feff5e,cache/green_tiles_v3/tiles_final/group_0002_f9feff5e.gpkg,0.176,29,337406.081500,7415742.818227,345406.081500,7416156.351974,341406.081500,7415949.585100,tile_d00_x00003_y00009
group_0003_e08d4973,cache/green_tiles_v3/tiles_final/group_0003_e08d4973.gpkg,0.832,350,329406.081500,7343742.818227,337406.081500,7351742.818227,333406.081500,7347742.818227,tile_d00_x00002_y00000
group_0004_43961c8c,cache/green_tiles_v3/tiles_final/group_0004_43961c8c.gpkg,1.297,308,313406.081500,7343742.818227,321406.081500,7351742.818227,317406.081500,7347742.818227,tile_d00_x00000_y00000
group_0005_12cb22d3,cache/green_tiles_v3/tiles_final/group_0005_12cb22d3.gpkg,2.930,945,321406.081500,7343742.818227,329406.081500,7351742.818227,325406.081500,7347742.818227,tile_d00_x00001_y00000
group_0006_143d28c1,cache/green_tiles_v3/tiles_final/group_0006_143d28c1.gpkg,2.941,353,329406.081500,7407742.818227,337406.081500,7415742.818227,333406.081500,7411742.818227,tile_d00_x00002_y00008
group_0007_70396eab,cache/green_tiles_v3/tiles_final/group_0007_70396eab.gpkg,4.125,3746,321406.081500,7379742.818227,325406.081500,7383742.818227,323406.081500,7381742.818227,tile_d01_x00002_y00009
group_0008_45fcb4f2,cache/green_tiles_v3/tiles_final/group_0008_45fcb4f2.gpkg,4.395,3081,333406.081500,7391742.818227,337406.081500,7395742.818227,335406.081500,7393742.818227,tile_d01_x00005_y00012
group_0009_e69f5486,cache/green_tiles_v3/tiles_final/group_0009_e69f5486.gpkg,4.633,2096,321406.081500,7407742.818227,329406.081500,7415742.818227,325406.081500,7411742.818227,tile_d00_x00001_y00008
group_0010_83506e05,cache/green_tiles_v3/tiles_final/group_0010_83506e05.gpkg,4.785,2289,333406.081500,7395742.818227,337406.081500,7399742.818227,335406.081500,7397742.818227,tile_d01_x00005_y00013
group_0011_87130ba2,cache/green_tiles_v3/tiles_final/group_0011_87130ba2.gpkg,4.883,4324,321406.081500,7371742.818227,325406.081500,7375742.818227,323406.081500,7373742.818227,tile_d01_x00002_y00007
group_0012_590ace35,cache/green_tiles_v3/tiles_final/group_0012_590ace35.gpkg,4.906,4493,329406.081500,7399742.818227,333406.081500,7403742.818227,331406.081500,7401742.818227,tile_d01_x00004_y00014
group_0013_6a1b38d2,cache/green_tiles_v3/tiles_final/group_0013_6a1b38d2.gpkg,5.578,4806,325406.081500,7395742.818227,329406.081500,7399742.818227,327406.081500,7397742.818227,tile_d01_x00003_y00013
group_0014_fa45a19b,cache/green_tiles_v3/tiles_final/group_0014_fa45a19b.gpkg,5.773,5513,333406.081500,7399742.818227,337406.081500,7403742.818227,335406.081500,7401742.818227,tile_d01_x00005_y00014
group_0015_c6b6d2fb,cache/green_tiles_v3/tiles_final/group_0015_c6b6d2fb.gpkg,5.879,2097,329406.081500,7359742.818227,337406.081500,7367742.818227,333406.081500,7363742.818227,tile_d00_x00002_y00002
group_0016_1cffcae4,cache/green_tiles_v3/tiles_final/group_0016_1cffcae4.gpkg,6.016,2172,313406.081500,7407742.818227,321406.081500,7415742.818227,317406.081500,7411742.818227,tile_d00_x00000_y00008
group_0017_cfdfd1a2,cache/green_tiles_v3/tiles_final/group_0017_cfdfd1a2.gpkg,6.055,3245,329406.081500,7351742.818227,337406.081500,7359742.818227,333406.081500,7355742.818227,tile_d00_x00002_y00001
group_0018_d97160bd,cache/green_tiles_v3/tiles_final/group_0018_d97160bd.gpkg,6.137,3274,313406.081500,7351742.818227,321406.081500,7359742.818227,317406.081500,7355742.818227,tile_d00_x00000_y00001
group_0019_5de4f821,cache/green_tiles_v3/tiles_final/group_0019_5de4f821.gpkg,6.211,6723,333406.081500,7387742.818227,337406.081500,7391742.818227,335406.081500,7389742.818227,tile_d01_x00005_y00011
group_0020_97dcfb9b,cache/green_tiles_v3/tiles_final/group_0020_97dcfb9b.gpkg,6.230,3616,329406.081500,7403742.818227,333406.081500,7407742.818227,331406.081500,7405742.818227,tile_d01_x00004_y00015
group_0021_16125bb0,cache/green_tiles_v3/tiles_final/group_0021_16125bb0.gpkg,6.340,5700,313406.081500,7391742.818227,321406.081500,7399742.818227,317406.081500,7395742.818227,tile_d00_x00000_y00006
group_0022_de7c0387,cache/green_tiles_v3/tiles_final/group_0022_de7c0387.gpkg,6.355,2363,337406.081500,7407742.818227,345406.081500,7415742.818227,341406.081500,7411742.818227,tile_d00_x00003_y00008
group_0023_4a571bc2,cache/green_tiles_v3/tiles_final/group_0023_4a571bc2.gpkg,6.426,2177,325406.081500,7359742.818227,329406.081500,7363742.818227,327406.081500,7361742.818227,tile_d01_x00003_y00004
group_0024_e6ec6076,cache/green_tiles_v3/tiles_final/group_0024_e6ec6076.gpkg,7.023,5062,353406.081500,7399742.818227,360614.518300,7407742.818227,357010.299900,7403742.818227,tile_d00_x00005_y00007
group_0025_5a15a87b,cache/green_tiles_v3/tiles_final/group_0025_5a15a87b.gpkg,7.051,8816,321406.081500,7375742.818227,325406.081500,7379742.818227,323406.081500,7377742.818227,tile_d01_x00002_y00008
group_0026_f3475b42,cache/green_tiles_v3/tiles_final/group_0026_f3475b42.gpkg,7.336,1987,313406.081500,7359742.818227,321406.081500,7367742.818227,317406.081500,7363742.818227,tile_d00_x00000_y00002
group_0027_50f46cee,cache/green_tiles_v3/tiles_final/group_0027_50f46cee.gpkg,7.387,5160,329406.081500,7395742.818227,333406.081500,7399742.818227,331406.081500,7397742.818227,tile_d01_x00004_y00013
group_0028_654ae0a5,cache/green_tiles_v3/tiles_final/group_0028_654ae0a5.gpkg,7.586,5499,337406.081500,7383742.818227,345406.081500,7391742.818227,341406.081500,7387742.818227,tile_d00_x00003_y00005
group_0029_359bc717,cache/green_tiles_v3/tiles_final/group_0029_359bc717.gpkg,7.637,8543,333406.081500,7383742.818227,337406.081500,7387742.818227,335406.081500,7385742.818227,tile_d01_x00005_y00010
group_0030_df3b9554,cache/green_tiles_v3/tiles_final/group_0030_df3b9554.gpkg,8.008,4339,321406.081500,7359742.818227,325406.081500,7363742.818227,323406.081500,7361742.818227,tile_d01_x00002_y00004
group_0031_8001a630,cache/green_tiles_v3/tiles_final/group_0031_8001a630.gpkg,8.660,7817,333406.081500,7403742.818227,337406.081500,7407742.818227,335406.081500,7405742.818227,tile_d01_x00005_y00015
group_0032_b1055e63,cache/green_tiles_v3/tiles_final/group_0032_b1055e63.gpkg,8.676,4368,321406.081500,7367742.818227,325406.081500,7371742.818227,323406.081500,7369742.818227,tile_d01_x00002_y00006
group_0033_50069228,cache/green_tiles_v3/tiles_final/group_0033_50069228.gpkg,9.688,3682,345406.081500,7399742.818227,353406.081500,7407742.818227,349406.081500,7403742.818227,tile_d00_x00004_y00007
group_0034_fe25a219,cache/green_tiles_v3/tiles_final/group_0034_fe25a219.gpkg,9.758,5702,321406.081500,7363742.818227,325406.081500,7367742.818227,323406.081500,7365742.818227,tile_d01_x00002_y00005
group_0035_58a0686d,cache/green_tiles_v3/tiles_final/group_0035_58a0686d.gpkg,9.961,3033,325406.081500,7363742.818227,329406.081500,7367742.818227,327406.081500,7365742.818227,tile_d01_x00003_y00005
group_0036_de8d8c50,cache/green_tiles_v3/tiles_final/group_0036_de8d8c50.gpkg,10.656,7439,313406.081500,7383742.818227,321406.081500,7391742.818227,317406.081500,7387742.818227,tile_d00_x00000_y00005
group_0037_343b389a,cache/green_tiles_v3/tiles_final/group_0037_343b389a.gpkg,10.992,5133,337406.081500,7399742.818227,345406.081500,7407742.818227,341406.081500,7403742.818227,tile_d00_x00003_y00007
group_0038_ee73ae41,cache/green_tiles_v3/tiles_final/group_0038_ee73ae41.gpkg,11.301,7806,321406.081500,7383742.818227,325406.081500,7387742.818227,323406.081500,7385742.818227,tile_d01_x00002_y00010
group_0039_aa8f26ce,cache/green_tiles_v3/tiles_final/group_0039_aa8f26ce.gpkg,11.406,3679,321406.081500,7351742.818227,329406.081500,7359742.818227,325406.081500,7355742.818227,tile_d00_x00001_y00001
group_0040_2087be43,cache/green_tiles_v3/tiles_final/group_0040_2087be43.gpkg,11.531,9353,325406.081500,7379742.818227,329406.081500,7383742.818227,327406.081500,7381742.818227,tile_d01_x00003_y00009
group_0041_0f6bb26a,cache/green_tiles_v3/tiles_final/group_0041_0f6bb26a.gpkg,11.734,6687,353406.081500,7383742.818227,360614.518300,7391742.818227,357010.299900,7387742.818227,tile_d00_x00005_y00005
group_0042_b2ef7c7d,cache/green_tiles_v3/tiles_final/group_0042_b2ef7c7d.gpkg,11.742,15213,325406.081500,7367742.818227,329406.081500,7371742.818227,327406.081500,7369742.818227,tile_d01_x00003_y00006
group_0043_60d03a29,cache/green_tiles_v3/tiles_final/group_0043_60d03a29.gpkg,11.777,7079,345406.081500,7383742.818227,353406.081500,7391742.818227,349406.081500,7387742.818227,tile_d00_x00004_y00005
group_0044_2290e38c,cache/green_tiles_v3/tiles_final/group_0044_2290e38c.gpkg,12.070,6688,313406.081500,7399742.818227,321406.081500,7407742.818227,317406.081500,7403742.818227,tile_d00_x00000_y00007
group_0045_6e8e15e3,cache/green_tiles_v3/tiles_final/group_0045_6e8e15e3.gpkg,12.215,8681,329406.081500,7367742.818227,337406.081500,7375742.818227,333406.081500,7371742.818227,tile_d00_x00002_y00003
group_0046_33bb86bd,cache/green_tiles_v3/tiles_final/group_0046_33bb86bd.gpkg,12.844,14541,329406.081500,7383742.818227,333406.081500,7387742.818227,331406.081500,7385742.818227,tile_d01_x00004_y00010
group_0047_54fe4e1b,cache/green_tiles_v3/tiles_final/group_0047_54fe4e1b.gpkg,12.879,8085,321406.081500,7391742.818227,325406.081500,7395742.818227,323406.081500,7393742.818227,tile_d01_x00002_y00012
group_0048_343a2539,cache/green_tiles_v3/tiles_final/group_0048_343a2539.gpkg,12.895,10457,321406.081500,7395742.818227,325406.081500,7399742.818227,323406.081500,7397742.818227,tile_d01_x00002_y00013
group_0049_87142d51,cache/green_tiles_v3/tiles_final/group_0049_87142d51.gpkg,13.070,12951,313406.081500,7367742.818227,321406.081500,7375742.818227,317406.081500,7371742.818227,tile_d00_x00000_y00003
group_0050_58967b28,cache/green_tiles_v3/tiles_final/group_0050_58967b28.gpkg,13.266,19331,325406.081500,7375742.818227,329406.081500,7379742.818227,327406.081500,7377742.818227,tile_d01_x00003_y00008
group_0051_c293e8fb,cache/green_tiles_v3/tiles_final/group_0051_c293e8fb.gpkg,13.789,13718,329406.081500,7391742.818227,333406.081500,7395742.818227,331406.081500,7393742.818227,tile_d01_x00004_y00012
group_0052_56d9399b,cache/green_tiles_v3/tiles_final/group_0052_56d9399b.gpkg,14.367,8812,353406.081500,7391742.818227,360614.518300,7399742.818227,357010.299900,7395742.818227,tile_d00_x00005_y00006
group_0053_7714bf99,cache/green_tiles_v3/tiles_final/group_0053_7714bf99.gpkg,15.488,16277,329406.081500,7387742.818227,333406.081500,7391742.818227,331406.081500,7389742.818227,tile_d01_x00004_y00011
group_0054_2ce2f3f0,cache/green_tiles_v3/tiles_final/group_0054_2ce2f3f0.gpkg,15.594,16760,321406.081500,7387742.818227,325406.081500,7391742.818227,323406.081500,7389742.818227,tile_d01_x00002_y00011
group_0055_f5d99d3e,cache/green_tiles_v3/tiles_final/group_0055_f5d99d3e.gpkg,16.148,9926,345406.081500,7391742.818227,353406.081500,7399742.818227,349406.081500,7395742.818227,tile_d00_x00004_y00006
group_0056_fd3aa915,cache/green_tiles_v3/tiles_final/group_0056_fd3aa915.gpkg,16.387,12708,337406.081500,7391742.818227,345406.081500,7399742.818227,341406.081500,7395742.818227,tile_d00_x00003_y00006
group_0057_d52befdb,cache/green_tiles_v3/tiles_final/group_0057_d52befdb.gpkg,16.832,17978,325406.081500,7387742.818227,329406.081500,7391742.818227,327406.081500,7389742.818227,tile_d01_x00003_y00011
tile_d01_x00003_y00007,cache/green_tiles_v3/tiles_final/tile_d01_x00003_y00007.gpkg,20.559,38768,325406.081500,7371742.818227,329406.081500,7375742.818227,327406.081500,7373742.818227,tile_d01_x00003_y00007
tile_d00_x00002_y00004,cache/green_tiles_v3/tiles_final/tile_d00_x00002_y00004.gpkg,20.707,26144,329406.081500,7375742.818227,337406.081500,7383742.818227,333406.081500,7379742.818227,tile_d00_x00002_y00004
tile_d00_x00001_y00007,cache/green_tiles_v3/tiles_final/tile_d00_x00001_y00007.gpkg,20.738,14163,321406.081500,7399742.818227,329406.081500,7407742.818227,325406.081500,7403742.818227,tile_d00_x00001_y00007
tile_d00_x00000_y00004,cache/green_tiles_v3/tiles_final/tile_d00_x00000_y00004.gpkg,20.980,28387,313406.081500,7375742.818227,321406.081500,7383742.818227,317406.081500,7379742.818227,tile_d00_x00000_y00004
tile_d01_x00003_y00012,cache/green_tiles_v3/tiles_final/tile_d01_x00003_y00012.gpkg,23.199,24283,325406.081500,7391742.818227,329406.081500,7395742.818227,327406.081500,7393742.818227,tile_d01_x00003_y00012
tile_d01_x00003_y00010,cache/green_tiles_v3/tiles_final/tile_d01_x00003_y00010.gpkg,23.977,23179,325406.081500,7383742.818227,329406.081500,7387742.818227,327406.081500,7385742.818227,tile_d01_x00003_y00010
